Department/Region,Phone Number
GPS Coordinates:,0247558517305371776
Head Office,0130650983
Information Centre,0130650814
Mhala DLTC,0130650816
Hluvukani Region,0130650817
Dwarsloop Region,0130650818
Lilydale Region,0130650819
Shatale Region,0130650820
Mkhuhlu Region,0130650821
Marite Region,0130650822
Agincourt Region,0130650823
Casteel Region,0130650824
Acornhoek Region,0130650825
Bohlabela Transversal Affairs,0130650826
Disaster Centre,0130650827
Mapulaneng DLTC,0130650828
Inyaka,0130650980
Hluvukani DLTC,0130650984
Mafemani Library,0130650985
Hluvukani Library,0130650986
Mkhuhlu Library,0130650987
Shatale Library,0130650988
Acornhoek Library,0130650989
MP Stream Library,0130650990
Thulamahashe Library,0130650991
Maviljan,08775466252
Bushbuckridge Police Station,0137995537
Crime Stop Tip-off line,0860010111
Fire Department,0605064020
